North(m),East(m),Anomalia Magnética(nT)
-2548737.5999999996,-4664220.0,-57.35614888925251
-2548659.9,-4664220.0,-41.979705267848175
-2548582.2,-4664220.0,-54.72569580039981
-2548504.5,-4664220.0,-61.2051817958898
-2548426.8,-4664220.0,-44.39035793501619
-2548349.0999999996,-4664220.0,12.836321604363809
-2548271.4,-4664220.0,5.499629227086611
-2548193.6999999997,-4664220.0,-41.297524635923665
-2548116.0,-4664220.0,-14.393750420053866
-2548038.3,-4664220.0,38.262670755007974
-2547960.6,-4664220.0,42.51531670150403
-2547882.9,-4664220.0,7.881788581398035
-2547805.1999999997,-4664220.0,-21.233522480843956
-2547727.5,-4664220.0,-36.72731302173862
-2547649.8,-4664220.0,-33.62605811296636
-2547572.1,-4664220.0,-32.11557064993548
-2547494.4,-4664220.0,-40.02214545868221
-2547416.7,-4664220.0,-51.81586962896582
-2547339.0,-4664220.0,-54.60777996613329
-2547261.3,-4664220.0,-58.566994703632005
-2547183.5999999996,-4664220.0,-67.3008549518906
-2547105.9,-4664220.0,-71.80516319249725
-2547028.1999999997,-4664220.0,-76.98474461725225
-2546950.5,-4664220.0,-80.71733095545943
-2546872.8,-4664220.0,-79.17429116478982
-2546795.1,-4664220.0,-80.09180285206772
-2546717.4,-4664220.0,-70.72843769758315
-2546639.6999999997,-4664220.0,-126.16220989351766
-2546562.0,-4664220.0,-154.37012536565567
-2546484.3,-4664220.0,-145.03966427679592
-2546406.6,-4664220.0,-134.86749473498614
-2546328.9,-4664220.0,-140.4724709029153
-2546251.2,-4664220.0,-146.33102566476745
-2546173.4999999995,-4664220.0,-134.12202436769303
-2546095.8,-4664220.0,-120.3232796085331
-2546018.0999999996,-4664220.0,-111.89372938128741
-2545940.4,-4664220.0,-101.78299443012264
-2545862.6999999997,-4664220.0,-96.07878430504711
-2545785.0,-4664220.0,-91.85888650715683
-2549670.0,-4664109.0,-87.91493139271839
-2549592.3000000003,-4664109.0,-100.47021075174004
-2549514.5999999996,-4664109.0,-106.21046660833959
-2549436.9,-4664109.0,-117.76034468975935
-2549359.1999999997,-4664109.0,-143.21852607459624
-2549281.5,-4664109.0,-173.2161203818228
-2549203.8,-4664109.0,-193.89769302566208
-2549126.1,-4664109.0,-184.7070192317916
-2549048.4,-4664109.0,-166.71117566701108
-2548970.6999999997,-4664109.0,-199.622993182807
-2548892.9999999995,-4664109.0,-239.78737876525045
-2548815.3,-4664109.0,-184.17660094380247
-2548737.5999999996,-4664109.0,-135.1355044394323
-2548659.9,-4664109.0,-40.99749366009591
-2548582.2,-4664109.0,5.274606958426697
-2548504.5,-4664109.0,15.127614899279468
-2548426.8,-4664109.0,1.8642904541062517
